Symbol,1W Change %,1M Change %,3M Change %,6M Change %,1Y Change %,5Y Change %,Name,Category
ENPH,6.53,-5.83,-26.75,-20.78,-57.15,-27.49,"Enphase Energy, Inc.",Top Losers
RH,-10.02,30.34,-46.83,-37.27,-27.46,16.92,RH,Top Losers
UPWK,-5.0,33.32,-4.67,11.35,43.69,31.94,Upwork Inc.,Top Losers
TNXP,34.54,81.48,171.5,69.69,-95.53,-99.99,Tonix Pharmaceuticals Holding Corp.,Top Losers
AEO,-6.09,11.32,-16.3,-30.13,-47.99,55.67,"American Eagle Outfitters, Inc.",Top Losers
QDEL,-8.87,31.76,-22.75,-16.12,-23.66,-82.61,QuidelOrtho Corporation,Top Losers
OLED,-2.59,32.29,2.97,-7.95,-13.48,4.49,Universal Display Corporation,Top Losers
NXT,6.21,46.26,18.19,57.83,29.39,88.61,Nextracker Inc.,Top Losers
INSP,-7.47,2.16,-17.29,-16.04,-4.81,85.1,"Inspire Medical Systems, Inc.",Top Losers
ACHC,-5.96,17.89,-38.04,-31.69,-62.07,-2.48,"Acadia Healthcare Company, Inc.",Top Losers
CLF,-2.57,5.65,-37.68,-35.45,-58.3,60.2,Cleveland-Cliffs Inc.,Top Losers
ZETA,-9.19,22.87,-41.33,-38.51,-23.16,52.31,Zeta Global Holdings Corp.,Top Losers
SITM,-0.16,61.26,15.64,-2.1,55.96,559.89,SiTime Corporation,Top Losers
IGT,1.22,1.98,-8.17,-11.7,-15.91,152.85,International Game Technology PLC,Top Losers
DBRG,27.39,47.08,8.08,-5.77,-13.87,65.3,"DigitalBridge Group, Inc.",Top Losers
CZR,-2.47,19.06,-21.61,-20.37,-14.81,3.49,"Caesars Entertainment, Inc.",Top Losers
RKT,1.94,11.3,3.7,-0.92,-7.27,-28.87,"Rocket Companies, Inc.",Top Losers
IEP,-2.29,5.03,-7.78,-16.42,-37.19,-57.55,Icahn Enterprises L.P.,Top Losers
TSLA,1.68,49.31,-5.79,-1.83,94.16,530.58,"Tesla, Inc.",Top Losers
POWI,-5.4,13.19,-18.51,-12.81,-31.84,2.98,"Power Integrations, Inc.",Top Losers
PLTR,-1.85,38.47,12.2,99.62,481.5,1223.51,Palantir Technologies Inc.,Top Losers
ARM,4.12,36.21,-14.55,-0.88,19.41,107.41,Arm Holdings plc,Top Losers
LSCC,-8.73,22.13,-25.85,4.98,-30.53,116.28,Lattice Semiconductor Corporation,Top Losers
SYNA,-3.8,29.51,-13.83,-12.79,-32.66,4.68,Synaptics Incorporated,Top Losers
FIVN,-3.47,26.36,-34.77,-27.6,-49.15,-73.72,"Five9, Inc.",Top Losers
VFC,-3.76,37.42,-45.49,-24.74,19.23,-68.91,V.F. Corporation,Top Losers
VSH,0.13,34.24,-21.73,-1.26,-36.75,7.51,"Vishay Intertechnology, Inc.",Top Losers
RXO,0.81,33.19,-22.61,-38.89,-18.43,-20.21,"RXO, Inc.",Top Losers
ALVO,-3.41,22.45,-12.97,-18.4,-24.44,-8.85,Alvotech,Top Losers
DDS,3.73,29.72,-19.64,1.44,-0.55,1921.02,"Dillard's, Inc.",Top Losers
BIRK,2.0,18.27,0.86,18.34,14.89,37.21,Birkenstock Holding plc,Top Losers
WRD,-11.31,0.77,-74.99,-55.91,-48.61,-48.61,WeRide Inc.,Top Losers
MKSI,-5.32,46.46,-17.1,-18.14,-32.86,-7.04,MKS Inc.,Top Losers
WLK,-7.77,-12.04,-29.4,-36.57,-49.57,104.04,Westlake Corporation,Top Losers
FRSH,-5.57,25.02,-14.51,0.67,6.72,-68.27,Freshworks Inc.,Top Losers
BBY,-2.59,15.7,-20.12,-15.47,1.49,4.21,"Best Buy Co., Inc.",Top Losers
ON,-4.29,26.09,-21.1,-34.25,-41.01,183.07,ON Semiconductor Corporation,Top Losers
CFLT,-4.93,7.75,-33.85,-22.3,-31.36,-51.18,"Confluent, Inc.",Top Losers
LNTH,0.01,-21.53,-2.99,-0.6,-4.72,566.29,"Lantheus Holdings, Inc.",Top Losers
DOCN,-4.0,16.75,-31.67,-20.44,-19.93,-28.82,"DigitalOcean Holdings, Inc.",Top Losers
ALGM,2.09,62.43,-3.07,37.76,-10.65,51.69,"Allegro MicroSystems, Inc.",Top Losers
IONQ,2.87,42.21,0.1,22.53,284.83,216.41,"IonQ, Inc.",Top Losers
PTEN,-6.58,1.2,-32.18,-25.2,-46.86,84.63,"Patterson-UTI Energy, Inc.",Top Losers
SM,-6.96,8.29,-38.04,-44.91,-50.7,625.48,SM Energy Company,Top Losers
VAL,-3.99,20.54,-12.84,-19.59,-51.69,57.47,Valaris Limited,Top Losers
MPWR,-5.36,37.39,1.09,19.74,-6.92,258.69,"Monolithic Power Systems, Inc.",Top Losers
HUN,-4.59,-3.17,-30.43,-34.29,-48.34,-9.81,Huntsman Corporation,Top Losers
VEEV,-1.78,12.76,3.36,12.87,12.83,20.84,Veeva Systems Inc.,Top Losers
